,0
0,other key players
1,feeding them
2,cuban harms
3,space ring
4,deaths
5,inevitable
6,good measure
7,food-source
8,activists
9,nature
10,national title
11,fisa
12,achievement
13,on or off menus
14,greenhouse gases
15,ticking time bomb
16,vocations
17,users
18,dropouts
19,ecology
20,treatment
21,planet
22,death toll
23,individual
24,learning
25,emissions/global warming
26,status quo
27,history of sovereignty
28,child
29,ostracizing hunters
30,environmental effects
31,alternatives
32,insurgency fight
33,changing behavior
34,china/india outsourcing
35,slippery slope
36,essential goods
37,loose housing
38,effectivity
39,values
40,choice issues
41,impact
42,general solvency
43,stemming immigration
44,technology
45,college
46,Other candidates
47,development
48,maturity
49,part of game
50,crops
51,water-use
52,family
53,growth
54,efficacy
55,pro/con sources
56,psychology
57,exploitation
58,mutual attraction
59,generations
60,nuclear fallout
61,hydrogen
62,conventional bombs
63,champs
64,nuclear
65,birds
66,marriage/family
67,fishing
68,analogous services
69,pressure
70,on campus
71,false dichotomy
72,updates
73,priority/inevitable
74,odor
75,innate problems
76,reducing emissions
77,other impacts
78,energy
79,decentralized journalism
80,leaders
81,national role
82,production
83,social
84,non-treatment
85,space heating
86,kosovo viability
87,planning
88,earned
89,specialization
90,personality traits
91,location
92,celebrities
93,stable country
94,timing
95,relationships
96,recruits
97,network owners
98,personality
99,emergency contact
100,management
101,model principles
102,precedent
103,endangered
104,systemic bias
105,in the world
106,stability
107,false accusation
108,abstinence message
109,recognition
110,deserving
111,employees
112,interests
113,classes
114,abandoned claims
115,proportionality
116,workers
117,migrants
118,sentient beings
119,functionality
120,righting past wrongs
121,self-determination
122,impact on children
123,tactics
124,separation of powers
125,us interests
126,legitimacy
127,batteries
128,accomplishments
129,robots
130,reciprocity
131,car insurance
132,independance
133,measuring merit
134,waste
135,prolonged isolation
136,energy crunch
137,deficit
138,capital flight
139,weak states
140,notice
141,unilateralism
142,until marriage
143,sun
144,parenting
145,self-improvement
146,families
147,hutches
148,other solutions
149,special interests
150,proliferation
151,others
152,israeli society
153,imf
154,global integration
155,value
156,animal benefits
157,argentinian independence
158,assoc
159,natural disasters
160,vital interests
161,reproduction
162,agreement
163,containing growth
164,life lessons
165,as fuel
166,vows
167,value of education
168,effectiveness of ban
169,colleges/applicants
170,stereotypes vs. reality
171,reputation
172,database
173,time
174,popular demands
175,citizen decisions
176,feasibility of change
177,weighty statements
178,concentration
179,barrages
180,teachers
181,motivations
182,sulfur dioxide
183,intelligence sources
184,hypocrisy
185,youth participation
186,habitat
187,non-corn ethanol
188,instant-replay ump
189,companies
190,exposure
191,scripted shows
192,standards
193,disadvantaged
194,activist organizations
195,eugenics
196,chinese governance
197,performance
198,tibet
199,empowering women
200,growing government
201,commitment
202,double standard
203,ambiguity
204,pregnancy
205,sex education issues
206,public insurance
207,intelligence
208,capitalism
209,efficiency
210,interests of living victims
211,merit
212,socializing
213,infrastructure
214,carrying papers
215,children
216,interference
217,emissions
218,incumbency
219,corporations
220,public service
221,assisting quiting
222,arbitration
223,tang dynasty (618-907)
224,size
225,obligatory
226,state interests
227,small states
228,geography
229,commitment
230,innovation
231,consumption/taste
232,incumbent
233,maintenance
234,individual effects
235,in us history
236,air-quality
237,family size
238,pragmatism
239,chinese response
240,footprint
241,citizenship
242,space exploration
243,activism
244,expanded membership
245,interest groups
246,eu opinion
247,cosmetics
248,university administrators
249,affecting protection choices
250,silent mode
251,powers
252,products
253,starting point
254,last resort
255,claims
256,information
257,strategic value
258,advertisements
259,poor system
260,original vote
261,viewer esteem
262,images in islam
263,bad apples
264,discipline
265,creationism as science
266,exceptionality
267,future efforts
268,implementation
269,needy
270,importance
271,traffic
272,urgency
273,gay influence
274,home-heating
275,affirmative action
276,state consistency
277,engine compatibility
278,entertainment
279,child development
280,private investments
281,graduated response
282,sunnis
283,postal rates
284,the consumer
285,consumption
286,dependency
287,libel/misinformation
288,hitler
289,aig recovery
290,serious problem
291,aggression
292,vietnam comparison
293,future impact
294,popular support
295,temporary
296,parental authority
297,compromise
298,science
299,demonstration
300,risks
301,historic opinion
302,voluntary action
303,environment/batteries
304,relevant symbol
305,processes
306,present
307,stabilizer?
308,humanity
309,problem
310,rep government
311,state sovereignty
312,male interests
313,fresh faces vs. amateurs
314,the children
315,turnaround
316,administrative costs
317,killing calves
318,changing menus
319,self-regulations
320,tobacco ads
321,post-cold war
322,quality
323,during recession
324,image/relations
325,special case
326,Alcohol
327,consequences
328,aid agencies
329,practicality
330,message
331,water supply
332,administration
333,spirit
334,usage
335,democratic process
336,captivity
337,contributions
338,cellulosic
339,differentiated responsibilities
340,young women
341,opinion
342,viability
343,britannica
344,ming dynasty (1368-1644)
345,energy independence
346,sex
347,industry
348,treatment
349,fisheries
350,significance
351,party system
352,protecting players
353,muslim relations
354,hunting
355,professional networking
356,general history
357,vetting climate solutions
358,past aid
359,agriculture
360,retention
361,training
362,the flag was waving and rippling
363,support
364,independence vs. autonomy
365,rarity
366,general access
367,broad strategy
368,intervention
369,non-participation
370,reasonable suspicion
371,to preserve or save artifacts
372,partying
373,general
374,patriotism
375,quality and value
376,contract
377,individual responsibility
378,crop-eradication
379,decency
380,romany schools
381,red tides
382,position
383,donor countries
384,history
385,by-catch
386,vs. solar
387,iraqi constitution
388,blockade
389,democratic agenda
390,producer states
391,immediacy
392,sex tourism
393,vs. mandates
394,juvenile jurisdiction
395,pre-existing conditions
396,disarmament
397,public
398,mixed approach
399,other evidence
400,discovery
401,secret prisons
402,islamic faith
403,students
404,natural
405,consensus
406,marriage institution
407,natural expansion
408,female interests
409,urban development
410,sovereignty
411,intimidation
412,effect on wild fish
413,recreation
414,relations
415,sexualization
416,turbines
417,general election
418,peer review
419,pesticides
420,case studies
421,oil replacement
422,status
423,mineral exploitation
424,surveillance
425,dc non-state
426,parental exploitation
427,pro/con industries
428,legal acadamia
429,statehood
430,hands-free phones
431,smaller states
432,symbol
433,general humaneness
434,abuse
435,ecosystems
436,influence
437,co-opting bowls
438,individuals
439,emperor
440,anti-dumping measures
441,environment/general
442,in cities
443,vs private sector
444,scientific community
445,animals as commodities
446,kurds
447,proliferation/npt
448,problem-solving
449,momentum
450,popularity
451,love
452,historically
453,value of debate
454,sustainability
455,ocean ecosystems
456,islamic democracy
457,chechen sovereignty
458,victims
459,international cooperation vs interdependence
460,irrational actor
461,colonial legacy
462,kosovo precedent
463,strategy
464,marriage stability
465,scalability
466,air travel
467,regional stability
468,pristine environment?
469,precautionary principle
470,japan's case
471,war on christmas
472,oil
473,office effectiveness
474,clean coal
475,sweden
476,decision-making
477,pro/con organizations
478,consultation
479,npr/pbs
480,consensus model
481,responsibility
482,atmospheric c02
483,charging
484,learning english
485,employers
486,permanent president of the european council
487,false choice
488,vs. rockets
489,academics
490,lying
491,confidence
492,guest workers
493,socially
494,marine ecosystems
495,change
496,priorities
497,voluntary
498,work environment
499,smegma
500,"armenian ""genocide"""
501,mccain's age
502,parental responsibility
503,screening
504,consumer pressure
505,collateral damage
506,immediate stimulus
507,power
508,immigration
509,inclusiveness
510,teacher rights
511,teacher authority
512,free-riders
513,electric grid
514,impact on violence
515,unions
516,defining negativity
517,verification
518,winning
519,electric vehicles
520,mandates
521,israeli security
522,blissful ignorance
523,auto comparison
524,climate change
525,palestinian life
526,responsible marketplace
527,state authority
528,researching it
529,environment
530,side-effects
531,electric
532,completeness
533,free association
534,clone
535,euro
536,hydrogen cars
537,moderation
538,music as art
539,broken cameras
540,associations
541,historical figures
542,power abuse
543,two-party moderation
544,automatic enrollment
545,for baseball
546,surfers
547,reality
548,parents
549,social gain
550,direct democracy
551,crowding
552,averting crises
553,experience
554,effectiveness
555,teen pregnancy
556,debaters' attitude towards life
557,in korea
558,symbolism
559,party power
560,playing god/nature
561,other options
562,consumers
563,leadership
564,practice
565,institution of marriage
566,join operations
567,doctor/parent role
568,restriction
569,party interest
570,sectoral standards
571,without saddam
572,demographic shifts
573,the individual
574,research
575,property
576,need
577,speeding cameras
578,child abuse
579,athletes
580,innocents
581,needing the money
582,algae biofuels
583,surrender
584,manipulation
585,good/bad stimulus
586,donor impact
587,lftr reactors
588,settlements
589,pretext for war
590,image
591,irony
592,state powers
593,family integrity
594,human factor
595,diplomatic feel
596,luck
597,flexibility
598,from developed nations
599,access
600,meritocracy
601,bad zookeepers
602,developing countries
603,modern media
604,backlash
605,cooperatives
606,compassion
607,ceo pay
608,principles
609,social effects
610,level playing field
611,media
612,student measurement
613,fans
614,unions/advocacy
615,scholars
616,grain diets
617,authority
618,global warming crisis
619,environmental justice
620,car insurance analogy
621,individual representation
622,coordination
623,accountability
624,states
625,weather resistance
626,coca products
627,justification
628,dynasty
629,corporate responsibility
630,theory
631,respecting victims
632,beauty
633,social aspects
634,birth control
635,local use
636,oil exploration
637,marine wildlife
638,influence of ads
639,wind energy
640,default
641,state budgets
642,tie-breaking
643,safeguards
644,sources
645,reliability
646,recount concerns
647,consistency
648,balloon effect
649,establishment clause
650,installation
651,teaching the controversy
652,efficiency and productivity
653,chinese users
654,animal rights
655,framers
656,upgrading
657,blame for conflict
658,evolution
659,bi-partisanship
660,the route
661,developing growth
662,abortions and abandonment
663,exemptions
664,secret deal
665,clean coal
666,civil unions
667,historical roots
668,future prospects
669,humaneness
670,palestinian territory
671,employer mandate
672,translocation
673,examples
674,at risk
675,school
676,splitting delegates
677,consumption levels
678,checks
679,unique harms
680,appearances
681,worker's rights
682,wwii dues paid?
683,blame
684,in schools
685,iraqi will
686,social/democratic
687,activists' intentions
688,charity
689,coalition will
690,future
691,choice
692,bih democracy
693,editor-experience
694,net energy
695,sexual role
696,lives
697,reanalyzing evidence
698,covenant vs no-fault
699,shiites
700,npov
701,right of return
702,ideological distinctions
703,abroad
704,utility
705,deterrence
706,exploration
707,storage
708,deep water oxygen depletion
709,replacements
710,acting on speech
711,bison migrations
712,demolishing dams
713,noise
714,frame
715,iran problem
716,eezs
717,passion
718,differences
719,character
720,global warming
721,biofuels
722,characteristics
723,effects
724,renewable
725,scholars and journalist stances
726,cheating
727,civilians
728,restriction
729,privileged partnership
730,promises
731,surgical castration
732,other symbols
733,dmv employees
734,internationally
735,third parties
736,bad assets
737,suspense
738,national symbol
739,radiation
740,natural gas vehicles
741,past deportations
742,jewish state
743,israel's image
744,wildlife
745,demand for beauty
746,palestinian state
747,small nations
748,tibetan governance
749,pain
750,solutions
751,facts
752,uninsured
753,delays
754,decolonization
755,us-indian relations
756,cap
757,energy security
758,favor
759,jewish interests
760,banning categories
761,eu
762,japanese whaling
763,prosecution
764,modernity
765,genocide
766,in society
767,sodomy and health
768,parenthood
769,physical damage
770,youth
771,capabilities
772,past atrocities
773,popular legitimacy
774,us approved lines
775,burma
776,fiscal accountability
777,diplomatic recognition
778,sexuality
779,rape
780,effect on sexual behavior
781,urgency to act
782,waste of time
783,balance
784,nato in kosovo
785,mission
786,test results/benefits
787,community integration
788,tourism
789,rules
790,historical lessons
791,un effectiveness
792,victims' families
793,environment/land-use
794,inspiration
795,vs. renewables
796,faiths
797,charging air travelers
798,on-the-ground
799,strong management
800,elephant populations
801,artists
802,necessity
803,popular will
804,attention
805,qing dynasty (1644-1911)
806,rebelliousness
807,china bloc
808,natural gas
809,rediscovery
810,mongols/yuan dynasty (1271-1368)
811,commerce clause
812,exceptions
813,relations/stability
814,grand-standing
815,locals
816,relationships and communication
817,competition
818,lives lost
819,woman vs. black man
820,government duty
821,logical next step
822,harm
823,bailouts
824,moon-to-mars
825,prevention
826,life-style
827,family friend
828,guilt as criteria
829,bible
830,first cousins
831,broader fight
832,international community
833,the surge
834,adultery
835,error-rates
836,convention
837,us-specific
838,barbarous procedure
839,availability
840,warming trend
841,targeted assassinations
842,accessibility and context
843,church
844,family violence
845,players
846,adult stem cells
847,bodily strain
848,europe
849,restructuring
850,making us safer?
851,justice/desert
852,creativity
853,safety/meltdown
854,skills and knowledge
855,joining russia
856,controversies
857,incentives
858,local effects
859,social contract
860,business practices
861,intentions of mosque
862,dayton accords
863,buy american
864,aesthetics
865,marriage defined
866,non-experts
867,communication
868,upholding christianity
869,donations
870,simplicity
871,other distractions
872,fossil fuel dependence
