Specific frame,Nils annotation,Thijs annotation,IS EQUAL
culture,Cultural identity,,FALSE
ethnicity,Cultural identity,Morality,FALSE
investment sources,Economic,Capacity and resources,FALSE
wages,Economic,,FALSE
the european central bank,Economic,,FALSE
seignorage,Economic,,FALSE
global free trade,Economic,External regulation and reputation,FALSE
home economies,Economic,,FALSE
paying for it,Economic,,FALSE
state costs,Economic,,FALSE
poverty,Economic,Quality of life,FALSE
wallstreet,Economic,,FALSE
un budget issues,Economic,,FALSE
taxpayer money,Economic,,FALSE
fiscal-monetary mix,Economic,,FALSE
budgets,Economic,Capacity and resources,FALSE
personal costs,Economic,,FALSE
cost effectiveness,Economic,,FALSE
healthcare costs,Economic,Health and safety,FALSE
checks and balances,Economic,,FALSE
sex rates,Economic,,FALSE
profit-interest,Economic,,FALSE
vs. single payer,Economic,,FALSE
budgetary burdens,Economic,Capacity and resources,FALSE
funding,Economic,Capacity and resources,FALSE
costs,Economic,Capacity and resources,FALSE
cap-and-trade alternative,Economic,,FALSE
cost-cutting,Economic,,FALSE
market value,Economic,,FALSE
shareholders,Economic,,FALSE
investment,Economic,,FALSE
gdp,Economic,,FALSE
spending,Economic,,FALSE
government spending,Economic,Policy prescription and evaluation,FALSE
international viewpoint,External regulation and reputation,,FALSE
other states,External regulation and reputation,,FALSE
eu member states,External regulation and reputation,,FALSE
chinese interests,External regulation and reputation,,FALSE
nato functions,External regulation and reputation,,FALSE
eu responsibility,External regulation and reputation,,FALSE
un efficacy,External regulation and reputation,,FALSE
eu-china partnership,External regulation and reputation,,FALSE
international stability,External regulation and reputation,,FALSE
nato expansion,External regulation and reputation,,FALSE
internal security,External regulation and reputation,Security and defense,FALSE
dominion,External regulation and reputation,,FALSE
peace,External regulation and reputation,,FALSE
iraq war policy,External regulation and reputation,,FALSE
war,External regulation and reputation,Security and defense,FALSE
hostilities,External regulation and reputation,,FALSE
border security,External regulation and reputation,Security and defense,FALSE
international authority,External regulation and reputation,,FALSE
other countries,External regulation and reputation,,FALSE
european union,External regulation and reputation,,FALSE
sovereignty/interests,External regulation and reputation,,FALSE
non-democracies,External regulation and reputation,,FALSE
conflict,External regulation and reputation,,FALSE
arms race,External regulation and reputation,Security and defense,FALSE
foreign control,External regulation and reputation,,FALSE
nato,External regulation and reputation,,FALSE
human rights,Fairness and equality,"Legality, constitunionality and jurisprudence",FALSE
abortion,Fairness and equality,Health and safety,FALSE
international law and realities,Fairness and equality,External regulation and reputation,FALSE
rights,Fairness and equality,"Legality, constitutionality and jurisprudence",FALSE
female preferences,Fairness and equality,,FALSE
intellectual property,Fairness and equality,,FALSE
redistribution,Fairness and equality,,FALSE
homosexuals,Fairness and equality,,FALSE
woman's rights,Fairness and equality,,FALSE
race/gender analogies,Fairness and equality,,FALSE
homosexuality analogy,Fairness and equality,,FALSE
gay sex,Fairness and equality,,FALSE
cultures/sexism,Fairness and equality,Cultural identity,FALSE
copy-right,Fairness and equality,"Legality, constitutionality and jurisprudence",FALSE
social issues,Fairness and equality,Quality of life,FALSE
individualism,Fairness and equality,,FALSE
education levels and quality,Fairness and equality,Quality of life,FALSE
poor,Fairness and equality,,FALSE
sexual discrimination,Fairness and equality,,FALSE
race analogy,Fairness and equality,,FALSE
gender issues,Fairness and equality,,FALSE
race,Fairness and equality,,FALSE
exclusion,Fairness and equality,,FALSE
religious discrimination,Fairness and equality,Morality,FALSE
integration or discrimination,Fairness and equality,Quality of life,FALSE
racial profiling,Fairness and equality,,FALSE
age discrimination,Fairness and equality,,FALSE
anti-gay violence,Fairness and equality,,FALSE
minority rights,Fairness and equality,"Legality, constitutionality and jurisprudence",FALSE
sexism,Fairness and equality,,FALSE
homophobia,Fairness and equality,,FALSE
racism,Fairness and equality,,FALSE
xenophobia,Fairness and equality,,FALSE
feminists,Fairness and equality,,FALSE
copyright law,Fairness and equality,,FALSE
ethnic division,Fairness and equality,Morality,FALSE
tobacco anti-adverts,Health and safety,,FALSE
adult jurisdiction for juveniles,Health and safety,Policy prescription and evaluation,FALSE
potency,Health and safety,,FALSE
rehabilitation,Health and safety,,FALSE
medicare precedent,Health and safety,,FALSE
saving lives,Health and safety,,FALSE
"abuse, disabled",Health and safety,,FALSE
ending pain,Health and safety,Quality of life,FALSE
infertility,Health and safety,,FALSE
addiction,Health and safety,,FALSE
sleep deprivation,Health and safety,,FALSE
socialized medicine,Health and safety,,FALSE
urinary infections,Health and safety,,FALSE
smoking quantities,Health and safety,,FALSE
milk diet,Health and safety,,FALSE
palliative care,Health and safety,Quality of life,FALSE
self-defense,Health and safety,Crime and punishment,FALSE
child-hazards,Health and safety,,FALSE
emergencies,Health and safety,,FALSE
harm and risks,Health and safety,,FALSE
vs tobacco/alcohol,Health and safety,,FALSE
personal use,Health and safety,,FALSE
smoked marijuana,Health and safety,,FALSE
sterilization,Health and safety,,FALSE
health,Health and safety,,FALSE
sex-specific diseases,Health and safety,,FALSE
emergency,Health and safety,,FALSE
illegitimacy,"Legality, constitutionality and jurisprudence",,FALSE
jobs for children,"Legality, constitutionality and jurisprudence",Economic,FALSE
classified information,"Legality, constitutionality and jurisprudence",,FALSE
first amendment,"Legality, constitutionality and jurisprudence",,FALSE
democracy,"Legality, constitutionality and jurisprudence",Public opinion,FALSE
transparency,"Legality, constitutionality and jurisprudence",,FALSE
land-use,"Legality, constitutionality and jurisprudence",,FALSE
defining marriage,"Legality, constitutionality and jurisprudence",,FALSE
humanitarian,"Legality, constitutionality and jurisprudence",,FALSE
safety vs. liberty,"Legality, constitutionality and jurisprudence",Health and safety,FALSE
religious freedoms,"Legality, constitutionality and jurisprudence",Morality,FALSE
parental rights,"Legality, constitutionality and jurisprudence","Legality, constitutionality and jurisprudence:",FALSE
congress,"Legality, constitutionality and jurisprudence",,FALSE
religious liberty,"Legality, constitutionality and jurisprudence",Morality,FALSE
anonymity,"Legality, constitutionality and jurisprudence",Quality of life,FALSE
child protections,"Legality, constitutionality and jurisprudence",,FALSE
fetus rights,"Legality, constitutionality and jurisprudence",,FALSE
free choice,"Legality, constitutionality and jurisprudence",,FALSE
democratic values,"Legality, constitutionality and jurisprudence",,FALSE
parent choice,"Legality, constitutionality and jurisprudence",,FALSE
universal laws,"Legality, constitutionality and jurisprudence",Crime and punishment,FALSE
judgement,"Legality, constitutionality and jurisprudence",,FALSE
corruption,"Legality, constitutionality and jurisprudence",,FALSE
patriot act?,"Legality, constitutionality and jurisprudence",,FALSE
founding fathers,"Legality, constitutionality and jurisprudence",,FALSE
enforceability,"Legality, constitutionality and jurisprudence",,FALSE
fair trials?,"Legality, constitutionality and jurisprudence",,FALSE
judicial system,"Legality, constitutionality and jurisprudence",,FALSE
social function,"Legality, constitutionality and jurisprudence",,FALSE
privacy,"Legality, constitutionality and jurisprudence",,FALSE
consent,"Legality, constitutionality and jurisprudence",,FALSE
legal avenues,"Legality, constitutionality and jurisprudence",,FALSE
path to citizenship,"Legality, constitutionality and jurisprudence",,FALSE
concealed-carry,"Legality, constitutionality and jurisprudence",,FALSE
sentencing and rehabilitation,"Legality, constitutionality and jurisprudence",,FALSE
individual freedoms,"Legality, constitutionality and jurisprudence",,FALSE
legislative production,"Legality, constitutionality and jurisprudence",,FALSE
regulation,"Legality, constitutionality and jurisprudence",,FALSE
cultural and religious doctrines,Morality,,FALSE
increasing incest,Morality,Health and safety,FALSE
religious speech,Morality,,FALSE
infant industry,Morality,,FALSE
cutting off internet,Morality,,FALSE
genetic modifications,Morality,,FALSE
darting/euthanasia,Morality,,FALSE
secularism,Morality,,FALSE
virtues,Morality,,FALSE
designer babies,Morality,,FALSE
human dignity,Morality,,FALSE
"embryos as ""life""",Morality,,FALSE
virginity pledges,Morality,,FALSE
pro-life,Morality,,FALSE
encouraging rape,Morality,,FALSE
unwanted/adoption,Morality,,FALSE
frozen embryos,Morality,,FALSE
hand-gun ban: should hand guns be banned? (see also: debate,Morality,"Legality, constitutionality and jurisprudence",FALSE
broader philosophies,Morality,,FALSE
development aid,Policy prescription and evaluation,,FALSE
subsidies,Policy prescription and evaluation,Economic,FALSE
tax cuts,Policy prescription and evaluation,Economic,FALSE
benefits,Policy prescription and evaluation,,FALSE
fighting drug trafficking,Policy prescription and evaluation,Crime and punishment,FALSE
energy needs,Policy prescription and evaluation,,FALSE
deportation,Policy prescription and evaluation,,FALSE
legislative process,Policy prescription and evaluation,,FALSE
effect of a ban,Policy prescription and evaluation,,FALSE
mixed private-public,Policy prescription and evaluation,,FALSE
supply the poor,Policy prescription and evaluation,,FALSE
public vs. private,Policy prescription and evaluation,,FALSE
fighting hiv/aids,Policy prescription and evaluation,Health and safety,FALSE
getting reform,Policy prescription and evaluation,,FALSE
public-private partnership,Policy prescription and evaluation,,FALSE
social benefits,Policy prescription and evaluation,Cultural identity,FALSE
disarming vs. enforcement,Policy prescription and evaluation,,FALSE
nationalization,Policy prescription and evaluation,,FALSE
privatization,Policy prescription and evaluation,,FALSE
government stimulus,Policy prescription and evaluation,"Legality, constitutionality and jurisprudence",FALSE
western imperialism,Policy prescription and evaluation,,FALSE
spending vs. tax cuts,Policy prescription and evaluation,Economic,FALSE
democratizing,Policy prescription and evaluation,,FALSE
reform,Policy prescription and evaluation,,FALSE
centralization/sovereignty,Policy prescription and evaluation,,FALSE
government involvement,Policy prescription and evaluation,"Legality, constitutionality and jurisprudence",FALSE
war on drugs,Policy prescription and evaluation,Health and safety,FALSE
curfews,Policy prescription and evaluation,,FALSE
internationalized,Policy prescription and evaluation,,FALSE
propaganda,Policy prescription and evaluation,,FALSE
micro credit,Policy prescription and evaluation,,FALSE
extended unemployment benefits,Policy prescription and evaluation,Quality of life,FALSE
cold war,Political,Security and defense,FALSE
obama's age,Political,,FALSE
international relations,Political,External regulation and reputation,FALSE
us government,Political,"Legality, constitutionality and jurisprudence",FALSE
peace process,Political,,FALSE
taxing drugs,Political,Economic,FALSE
russian tolerance,Political,,FALSE
geopolitics,Political,,FALSE
eu foreign minister,Political,,FALSE
obama's race,Political,,FALSE
politics: the various political arguments involved,Political,Politics,FALSE
regime change,Political,,FALSE
democratic support,Political,Public opinion,FALSE
power and corruption,Political,,FALSE
oil dependencies,Political,,FALSE
eu institutions,Political,,FALSE
us leaders,Political,,FALSE
campaigns,Political,,FALSE
prospective politicians,Political,Politics,FALSE
republican support,Political,Politics,FALSE
democratic principles,Political,,FALSE
politicians/others,Political,Politician,FALSE
politicization,Political,politics,FALSE
presidential nominees,Political,,FALSE
bill clinton,Political,,FALSE
diplomacy,Political,External regulation and reputation,FALSE
moral hazard,Public opinion,Morality,FALSE
national cohesion,Public opinion,Cultural identity,FALSE
petition,Public opinion,,FALSE
amusement,Quality of life,,FALSE
death with dignity,Quality of life,,FALSE
personal wealth,Quality of life,,FALSE
happiness,Quality of life,,FALSE
public anxiety,Quality of life,,FALSE
protecting non-smokers,Quality of life,Health and safety,FALSE
depression,Quality of life,,FALSE
quality of marriage,Quality of life,,FALSE
affordability,Quality of life,,FALSE
food shortages,Quality of life,Health and safety,FALSE
consumer choice,Quality of life,Public opinion,FALSE
masturbation,Quality of life,,FALSE
food/prices,Quality of life,,FALSE
food stamps,Quality of life,Health and safety,FALSE
child disability,Quality of life,,FALSE
wealthy,Quality of life,,FALSE
utility in war,Security and defence,External regulation and reputation,FALSE
us security,Security and defence,Security and defense:,FALSE
space shield,Security and defence,,FALSE
impact on wars,Security and defence,,FALSE
terrorism,Security and defence,Security and defense,FALSE
protecting troops,Security and defence,Security and defense,FALSE
security,Security and defence,Security and defense,FALSE
danger to humans,Security and defence,Health and safety,FALSE
fighting terrorism,Security and defence,Security and defense,FALSE
improving cluster bombs,Security and defence,,FALSE
military aid,Security and defence,Security and defense,FALSE
arms reduction,Security and defence,,FALSE
international security,Security and defence,Security and defense,FALSE
ceasefire,Security and defence,,FALSE
terrorist threat,Security and defence,Security and defense,FALSE
nuclear weapons,Security and defence,Security and defense,FALSE
military recruiting,Security and defence,Security and defense,FALSE
us military,Security and defence,Security and defense,FALSE
servicemen,Security and defence,,FALSE
police resources,Security and defence,Capacity and resources,FALSE
nuclear capability,Security and defence,,FALSE
soldiers,Security and defence,Security and defense,FALSE
rogue regimes,Security and defence,,FALSE
counter-terrorism,Security and defence,Security and defense,FALSE
war on terror,Security and defence,Security and defense,FALSE
crime fighting,Security and defence,Crime and punishment,FALSE
national security,Security and defence,Security and defense,FALSE
military opinion,Security and defence,Public opinion,FALSE
military threat,Security and defence,,FALSE
clearing mines,Security and defence,,FALSE
defense,Security and defence,Security and defense,FALSE
troop morale,Security and defence,,FALSE
missile defenses,Security and defence,Security and defense,FALSE
military presence,Security and defence,Security and defense,FALSE
military targets,Security and defence,Security and defense,FALSE
military readiness,Security and defence,Security and defense,FALSE
united nations security council,Security and defence,Security and defense,FALSE
national defense,Security and defence,Security and defense,FALSE
nuclear threat,Security and defence,Security and defense,FALSE
military strength,Security and defence,Security and defense,FALSE
nuclear energy,Security and defence,,FALSE
military,Security and defence,,FALSE
bioterrorism,Security and defence,Security and defense,FALSE
regional security,Security and defence,,FALSE
security benefits,Security and defence,Security and defense,FALSE
military action,Security and defence,Security and defense,FALSE
military humanism,Security and defence,,FALSE
"term ""war""",Security and defence,,FALSE
militia,Security and defence,Security and defense,FALSE
gender,,Cultural identity,FALSE
stereotypes,,Cultural identity,FALSE
diversity,,Cultural identity,FALSE
physicians,,Health and Safety,FALSE
nonproliferation,,External regulation and reputation,FALSE
public good,,Quality of life,FALSE
regional impact,,Policy prescription and evaluation,FALSE
pricing,,Economic,FALSE
representation,,Fairness and equality,FALSE
economics overall,,Economic,FALSE
resources,,Capacity and resources,FALSE
manned mission,,Security and defense,FALSE
resource drain,,Capacity and resources,FALSE
accidents,,Health and safety,FALSE
general public,,Public opinion,FALSE
opportunities,,Quality of life,FALSE
community,,Cultural identity:,FALSE
government,,"Legality, constitutionality and jurisprudence",FALSE
commercial,,Economic,FALSE
international,,External regulation and reputation,FALSE
abundance/availability,,Capacity and resources,FALSE
society,,Cultural identity,FALSE
consumer confidence,,Public opinion,FALSE
feasibility and availability,,Capacity and resources,FALSE
palliative care alternative,,Quality of life,FALSE
candidate intimidation,,Political,FALSE
policing procedures,,Policy prescription and evaluation,FALSE
jurisdiction,,"Legality, constitutionality and jurisprudence:",FALSE
morals,,Morality,FALSE
regulations/abuse,,Policy prescription and evaluation,FALSE
same-party candidates,,Politics,FALSE
american public,,Cultural identity,FALSE
fairness to consumers,,Fairness and equality,FALSE
tyranny of majority,,Quality of life,FALSE
human survival,,Security and defense,FALSE
species extinction,,Security and defense,FALSE
deficit reduction,,Economic,FALSE
redistribution of income,,Economic,FALSE
judicial discretion,,"Legality, constitutionality and jurisprudence",FALSE
free trade,,Economic,FALSE
government programs,,Policy prescription and evaluation,FALSE
universal jurisdiction,,"Legality, constitutionality and jurisprudence",FALSE
commercial use of info,,Economic,FALSE
demographics,,Public opinion,FALSE
means to protest,,Quality of life,FALSE
political education,,Political,FALSE
crisis,,Economic,FALSE
small government,,"Legality, constitutionality and jurisprudence",FALSE
school choice,,Quality of life,FALSE
physician judgement,,Health and safety,FALSE
imprisonment,,Crime and punishment,FALSE
moral obligation,,Morality,FALSE
clone safety,,Health and safety,FALSE
mothers' health,,Health and safety,FALSE
geoengineering ethics,,Morality,FALSE
employment,,Economic,FALSE
social security precedent,,Quality of life,FALSE
georgian governance,,"Legality, constitutionality and jurisprudence",FALSE
psychological disorders,,Health and safety,FALSE
distinct identity,,Cultural identity,FALSE
dependence culture,,Cultural identity,FALSE
state rights,,"Legality, constitutionality and jurisprudence",FALSE
recovery,,Health and safety,FALSE
survival,,Health and safety,FALSE
socio-economics,,Economic,FALSE
integrity,,Morality,FALSE
vs. tribunals,,"Legality, constitutionality and jurisprudence",FALSE
famine,,Quality of life,FALSE
corporate lobbying,,Policy prescription and evaluation,FALSE
tolerance,,"Legality, constitutionality and jurisprudence",FALSE
destination economies,,Economic,FALSE
tortured detainees,,Crime and punishment,FALSE
afghan security forces,,Security and defense,FALSE
pakistan government,,"Legality, constitutionality and jurisprudence",FALSE
general consequences,,Public opinion,FALSE
military value,,Security and defense,FALSE
obesity crisis,,Health and safety,FALSE
reducing sectarian violence,,Crime and punishment,FALSE
education/intelligence,,Quality of life,FALSE
politicizing olympics,,Political,FALSE
businesses,,Economic,FALSE
serbian opinion,,Public opinion,FALSE
treating the terminally ill,,Health and safety,FALSE
weapons,,Crime and punishment,FALSE
aid misuse and corruption vs trade drawbacks,,Policy prescription and evaluation,FALSE
threat,,Security and defense,FALSE
special-ed,,Quality of life,FALSE
consequences of a ban,,Policy prescription and evaluation,FALSE
educational achievement,,Quality of life,FALSE
teacher cheating,,Quality of life,FALSE
govt vs. markets,,Economic,FALSE
sense of safety,,Health and safety,FALSE
negatives of sanctions,,Policy prescription and evaluation,FALSE
taiwanese politics,,Political,FALSE
saving offenders,,Crime and punishment,FALSE
strategic ban,,Policy prescription and evaluation,FALSE
alcohol,,Health and safety,FALSE
world vs. us,,External regulation and reputation,FALSE
doctors,,Health and safety,FALSE
vs. gas tax,,Economic,FALSE
vs. harm reduction,,Quality of life,FALSE
social welfare effects,,Quality of life,FALSE
public credibility,,Public opinion,FALSE
portrayal of women,,Fairness and equality,FALSE
feasibility,,Capacity and resources,FALSE
sexual abuse,,Crime and punishment,FALSE
universal care,,Health and safety,FALSE
quality teachers,,Quality of life,FALSE