,Cluster,Frames
0,"('Cluster', 0)","['motivations', 'symbol', 'symbolism', 'theory', 'effects', 'inspiration', 'aesthetics']"
1,"('Cluster', 1)","['good measure', 'status quo', 'decentralized journalism', 'stable country', 'stability', 'abstinence message', 'self-improvement', 'pragmatism', 'state consistency', 'humanity', 'support', 'decency', 'natural', 'hands-free phones', 'general humaneness', 'regional stability', 'pristine environment?', 'confidence', 'inclusiveness', 'moderation', 'averting crises', 'innocents', 'compassion', 'weather resistance', 'respecting victims', 'safeguards', 'consistency', 'humaneness', 'prevention', 'justice/desert', 'simplicity']"
2,"('Cluster', 2)","['network owners', 'professional networking']"
3,"('Cluster', 3)","['employees', 'workers', 'contract', 'employers', 'guest workers', 'work environment', 'unions', 'sectoral standards', 'cooperatives', 'civil unions', 'employer mandate', ""worker's rights"", 'dmv employees', 'social contract']"
4,"('Cluster', 4)","['vocations', 'general solvency', 'usage', 'general access', 'general', 'general election', 'access', 'local use', 'cap', 'us-specific']"
5,"('Cluster', 5)","['dropouts', 'loose housing', 'non-treatment', 'fresh faces vs. amateurs', 'non-participation', 'dc non-state', 'uninsured', 'locals', 'non-experts']"
6,"('Cluster', 6)","['model principles', 'proportionality', 'citizen decisions', 'eugenics', 'affirmative action', 'democratic process', 'democratic agenda', 'disarmament', 'islamic democracy', 'direct democracy', 'bi-partisanship', 'social/democratic', 'bih democracy', 'dayton accords']"
7,"('Cluster', 7)","['on or off menus', 'consumption/taste', 'products', 'advertisements', 'traffic', 'the consumer', 'consumption', 'during recession', 'Alcohol', 'consumer pressure', 'responsible marketplace', 'consumers', 'needing the money', 'consumption levels']"
8,"('Cluster', 8)","['fishing', 'fisheries', 'effect on wild fish', 'ocean ecosystems', 'marine ecosystems', 'surfers', 'algae biofuels', 'marine wildlife', 'japanese whaling']"
9,"('Cluster', 9)","['deficit', 'disadvantaged', 'needy']"
10,"('Cluster', 10)","['slippery slope', 'impact', 'pressure', 'endangered', 'ambiguity', 'interference', 'affecting protection choices', 'serious problem', 'risks', 'problem', 'consequences', 'red tides', 'impact on violence', 'need', 'backlash', 'at risk', 'unique harms', 'noise', 'pain', 'delays', 'physical damage', 'rebelliousness', 'harm', 'bodily strain', 'controversies']"
11,"('Cluster', 11)","['ticking time bomb', 'nuclear fallout', 'nuclear', 'radiation']"
12,"('Cluster', 12)","['abortions and abandonment', 'adultery']"
13,"('Cluster', 13)","['climate change', 'global warming crisis', 'global warming', 'warming trend']"
14,"('Cluster', 14)","['measuring merit', 'assoc', 'merit', 'chechen sovereignty', 'clone', 'music as art', 'meritocracy', 'establishment clause']"
15,"('Cluster', 15)","['users', 'individual', 'recruits', 'sentient beings', 'others', 'individuals', 'the individual', 'athletes', 'human factor', 'replacements', 'artists', 'players']"
16,"('Cluster', 16)","['champs', 'popular demands', 'viewer esteem', 'entertainment', 'popular support', 'popularity', 'fans', 'popular legitimacy', 'tourism', 'popular will']"
17,"('Cluster', 17)","['alternatives', 'future efforts', 'future impact', 'future prospects', 'future']"
18,"('Cluster', 18)","['israeli society', 'israeli security', 'palestinian life', 'palestinian territory', 'jewish state', ""israel's image"", 'palestinian state', 'jewish interests']"
19,"('Cluster', 19)","['treatment', 'stabilizer?', 'treatment', 'intervention', 'side-effects', 'surgical castration', 'solutions']"
20,"('Cluster', 20)","['on campus', 'colleges/applicants', 'university administrators', 'graduated response', 'science', 'scientific community', 'academics', 'research', 'scholars', 'scholars and journalist stances']"
21,"('Cluster', 21)","['child', 'development', 'impact on children', 'youth participation', 'children', 'child development', 'the children', 'juvenile jurisdiction', 'developing countries', 'birth control', 'youth']"
22,"('Cluster', 22)","['space ring', 'planet', 'space heating', 'robots', 'space exploration', 'creationism as science', 'vs. solar', 'moon-to-mars']"
23,"('Cluster', 23)","['cuban harms', 'false accusation', 'hypocrisy', 'bad apples', 'libel/misinformation', 'reasonable suspicion', 'mixed approach', 'irrational actor', 'irony', 'luck', 'cheating', 'bad assets', 'error-rates', 'barbarous procedure']"
24,"('Cluster', 24)","['mutual attraction', 'cosmetics', 'love', 'marriage stability', 'beauty', 'passion', 'privileged partnership', 'demand for beauty', 'favor', 'upholding christianity']"
25,"('Cluster', 25)","['technology', 'infrastructure', 'innovation', 'maintenance', 'implementation', 'urban development', 'installation']"
26,"('Cluster', 26)","['engine compatibility', 'clean coal', 'clean coal', 'deep water oxygen depletion', 'safety/meltdown']"
27,"('Cluster', 27)","['life lessons', 'to preserve or save artifacts', 'learning english', 'historical lessons']"
28,"('Cluster', 28)","['social', 'socializing', 'in cities', 'socially', 'social gain', 'crowding', 'demographic shifts', 'social effects', 'social aspects', 'in society']"
29,"('Cluster', 29)","['other key players', 'Other candidates', 'other impacts', 'other solutions', 'other evidence', 'other options', 'other symbols', 'other distractions']"
30,"('Cluster', 30)","['nature', 'ecology', 'environmental effects', 'water-use', 'natural disasters', 'water supply', 'vetting climate solutions', 'pesticides', 'ecosystems', 'anti-dumping measures', 'sustainability', 'environmental justice', 'demolishing dams']"
31,"('Cluster', 31)","['exploitation', 'reproduction', 'sex education issues', 'gay influence', 'male interests', 'sex', 'sex tourism', 'sexualization', 'sexual role', 'sodomy and health', 'sexuality', 'rape', 'effect on sexual behavior']"
32,"('Cluster', 32)","['unilateralism', 'self-regulations', 'covenant vs no-fault', 'bible']"
33,"('Cluster', 33)","['public service', 'postal rates', 'administration', 'public', 'media', 'accountability', 'fiscal accountability', 'diplomatic recognition', 'government duty']"
34,"('Cluster', 34)","['family', 'parenting', 'families', 'family size', 'parents', 'doctor/parent role', 'family integrity', 'parenthood', 'family friend', 'first cousins']"
35,"('Cluster', 35)","['updates', 'notice', 'database', 'instant-replay ump', 'exposure', 'aig recovery', 'present', 'image/relations', 'smegma', 'screening', 'verification', 'reality', 'image', 'framers', 'examples', 'appearances', 'frame', 'mission', 'attention', 'life-style']"
36,"('Cluster', 36)","['insurgency fight', 'weighty statements', 'aggression', 'intimidation', 'surveillance', 'manipulation', 'suspense']"
37,"('Cluster', 37)","['animal benefits', 'captivity', 'secret prisons', 'bad zookeepers', 'animal rights', 'wildlife']"
38,"('Cluster', 38)","['feeding them', 'food-source', 'crops', 'agriculture', 'animals as commodities', 'grain diets', 'biofuels']"
39,"('Cluster', 39)","['growth', 'independance', 'containing growth', 'expanded membership', 'turnaround', 'natural expansion', 'momentum', 'evolution', 'developing growth', 'the surge']"
40,"('Cluster', 40)","['learning', 'college', 'classes', 'value of education', 'romany schools', 'students', 'student measurement', 'school', 'in schools', 'church']"
41,"('Cluster', 41)","['values', 'legitimacy', 'value', 'concentration', 'double standard', 'retention', 'sovereignty', 'property', 'surrender', 'level playing field', 'default', 'checks', 'wwii dues paid?', 'choice', 'storage', 'balance']"
42,"('Cluster', 42)","['growing government', 'incumbency', 'size', 'urgency', 'the flag was waving and rippling', 'immediacy', 'immediate stimulus', 'urgency to act', 'grand-standing', 'broader fight']"
43,"('Cluster', 43)","['analogous services', 'relationships', 'arbitration', 'compromise', 'muslim relations', 'relations', 'secret deal', 'differences', 'us-indian relations', 'relations/stability', 'relationships and communication']"
44,"('Cluster', 44)","['management', 'companies', 'capitalism', 'corporations', 'ceo pay', 'corporate responsibility', 'business practices']"
45,"('Cluster', 45)","['national role', 'interests', 'us interests', 'state interests', 'rep government', 'state sovereignty', 'independence vs. autonomy', 'statehood', 'state authority', 'state powers', 'states', 'state budgets', 'national symbol']"
46,"('Cluster', 46)","['opinion', 'consensus', 'peer review', 'decision-making', 'consultation', 'consensus model', 'principles']"
47,"('Cluster', 47)","['inevitable', 'maturity', 'priority/inevitable', 'reciprocity', 'agreement', 'time', 'commitment', 'obligatory', 'commitment', 'starting point', 'pre-existing conditions', 'precautionary principle', 'completeness', 'join operations', 'right of return', 'promises', 'us approved lines', 'necessity', 'logical next step']"
48,"('Cluster', 48)","['activists', 'activist organizations', 'activism', 'interest groups', 'associations', 'unions/advocacy', ""activists' intentions"", 'community integration']"
49,"('Cluster', 49)","['pro/con sources', 'pro/con industries', 'pro/con organizations']"
50,"('Cluster', 50)","['effectiveness of ban', 'assisting quiting', 'killing calves', 'crop-eradication', 'by-catch', 'exemptions', 'deterrence', 'banning categories', 'bailouts']"
51,"('Cluster', 51)","['barrages', 'dependency', 'blockade', 'vs. mandates', 'mandates', 'restriction', 'restriction', 'rules']"
52,"('Cluster', 52)","['eu opinion', 'hitler', 'permanent president of the european council', 'euro', 'third parties', 'eu', 'europe']"
53,"('Cluster', 53)","['in the world', 'imf', ""japan's case"", 'sweden', 'in korea', 'abroad', 'eezs', 'internationally', 'buy american']"
54,"('Cluster', 54)","['powers', 'turbines', 'influence', 'power', 'power abuse']"
55,"('Cluster', 55)","['ostracizing hunters', 'false dichotomy', 'prolonged isolation', 'silent mode', 'poor system', 'rarity', 'false choice', 'lying', 'blissful ignorance', 'broken cameras', 'decolonization', 'waste of time']"
56,"('Cluster', 56)","['car insurance', 'public insurance', 'auto comparison', 'for baseball', 'speeding cameras', 'car insurance analogy']"
57,"('Cluster', 57)","['changing behavior', 'specialization', 'feasibility of change', 'processes', 'changing menus', 'change', 'lftr reactors', 'upgrading', 'modernity', 'restructuring', 'joining russia']"
58,"('Cluster', 58)","['images in islam', 'sunnis', 'islamic faith', 'shiites', 'faiths', 'intentions of mosque']"
59,"('Cluster', 59)","['argentinian independence', 'ming dynasty (1368-1644)', 'bison migrations', 'qing dynasty (1644-1911)', 'mongols/yuan dynasty (1271-1368)']"
60,"('Cluster', 60)","['abandoned claims', 'righting past wrongs', 'post-cold war', 'past aid', 'past deportations', 'past atrocities']"
61,"('Cluster', 61)","['deaths', 'death toll', 'interests of living victims', 'protecting players', 'victims', 'lives', ""victims' families"", 'lives lost']"
62,"('Cluster', 62)","['voluntary action', 'aid agencies', 'spirit', 'voluntary', 'free-riders', 'free association', 'charity']"
63,"('Cluster', 63)","['batteries', 'as fuel', 'non-corn ethanol', 'npr/pbs', 'coca products', 'natural gas vehicles', 'natural gas', 'fossil fuel dependence']"
64,"('Cluster', 64)","['fisa', 'birds', 'capital flight', 'air-quality', 'air travel', 'balloon effect', 'charging air travelers']"
65,"('Cluster', 65)","['systemic bias', 'stereotypes vs. reality', 'responsibility', 'good/bad stimulus', 'justification', 'blame for conflict', 'blame', 'prosecution', 'guilt as criteria', 'targeted assassinations']"
66,"('Cluster', 66)","['china/india outsourcing', 'choice issues', 'separation of powers', 'global integration', 'vietnam comparison', 'differentiated responsibilities', 'case studies', 'legal acadamia', 'co-opting bowls', 'vs private sector', 'international cooperation vs interdependence', 'vs. rockets', 'two-party moderation', 'from developed nations', 'splitting delegates', 'ideological distinctions', 'iran problem', 'woman vs. black man', 'international community']"
67,"('Cluster', 67)","['iraqi constitution', 'kurds', 'without saddam', 'iraqi will', 'coalition will']"
68,"('Cluster', 68)","['chinese governance', 'chinese response', 'chinese users', 'china bloc']"
69,"('Cluster', 69)","['donor countries', 'collateral damage', 'playing god/nature', 'donor impact', 'donations']"
70,"('Cluster', 70)","['empowering women', 'pregnancy', 'young women', 'female interests', 'teen pregnancy', 'civilians']"
71,"('Cluster', 71)","['party system', 'partying', 'party power', 'party interest', 'convention']"
72,"('Cluster', 72)","['effectivity', 'efficacy', 'functionality', 'efficiency', 'quality', 'practicality', 'viability', 'scalability', 'office effectiveness', 'effectiveness', 'flexibility', 'coordination', 'reliability', 'efficiency and productivity', 'utility', 'capabilities', 'test results/benefits', 'un effectiveness', 'availability', 'making us safer?', 'creativity', 'skills and knowledge', 'incentives']"
73,"('Cluster', 73)","['weak states', 'small states', 'temporary', 'smaller states', 'small nations']"
74,"('Cluster', 74)","['performance', 'discipline', 'demonstration', 'training', 'practice', 'competition']"
75,"('Cluster', 75)","['history of sovereignty', 'in us history', 'historic opinion', 'general history', 'history', 'historically', 'colonial legacy', 'historical figures', 'historical roots']"
76,"('Cluster', 76)","['emergency contact', 'intelligence sources', 'standards', 'intelligence', 'carrying papers', 'information', 'message', 'defining negativity', 'diplomatic feel', 'translocation', 'acting on speech', 'commerce clause', 'accessibility and context', 'communication']"
77,"('Cluster', 77)","['problem-solving', 'value of debate', ""debaters' attitude towards life"", 'teaching the controversy']"
78,"('Cluster', 78)","['hydrogen', 'energy', 'energy crunch', 'home-heating', 'energy independence', 'charging', 'wind energy', 'net energy', 'renewable', 'energy security', 'vs. renewables']"
79,"('Cluster', 79)","['hutches', 'geography', 'environment/batteries', 'environment/general', 'environment', 'settlements', 'environment/land-use']"
80,"('Cluster', 80)","['part of game', 'location', 'timing', 'sun', 'habitat', 'footprint', 'position', 'recreation', ""mccain's age"", 'the route', 'on-the-ground']"
81,"('Cluster', 81)","['oil replacement', 'mineral exploitation', 'oil', 'oil exploration', 'exploration']"
82,"('Cluster', 82)","['armenian ""genocide""', 'genocide', 'burma']"
83,"('Cluster', 83)","['marriage/family', 'until marriage', 'vows', 'last resort', 'marriage institution', 'institution of marriage', 'tie-breaking', 'marriage defined']"
84,"('Cluster', 84)","['teachers', 'teacher rights', 'teacher authority']"
85,"('Cluster', 85)","['kosovo viability', 'kosovo precedent', 'nato in kosovo']"
86,"('Cluster', 86)","['electric grid', 'electric vehicles', 'electric', 'hydrogen cars']"
87,"('Cluster', 87)","['stemming immigration', 'migrants', 'citizenship', 'britannica', 'immigration']"
88,"('Cluster', 88)","['achievement', 'essential goods', 'earned', 'precedent', 'recognition', 'deserving', 'accomplishments', 'special interests', 'vital interests', 'reputation', 'claims', 'strategic value', 'exceptionality', 'importance', 'relevant symbol', 'special case', 'contributions', 'significance', 'patriotism', 'quality and value', 'status', 'winning', 'experience', 'recount concerns', 'characteristics', 'facts']"
89,"('Cluster', 89)","['self-determination', 'individual effects', 'original vote', 'individual responsibility', 'individual representation', 'sources', 'character', 'exceptions', 'local effects']"
90,"('Cluster', 90)","['conventional bombs', 'proliferation', 'cellulosic', 'proliferation/npt', 'automatic enrollment', 'adult stem cells']"
91,"('Cluster', 91)","['leaders', 'leadership', 'authority', 'editor-experience', 'strong management']"
92,"('Cluster', 92)","['planning', 'tactics', 'hunting', 'broad strategy', 'strategy', 'priorities', 'pretext for war']"
93,"('Cluster', 93)","['psychology', 'innate problems', 'personality traits', 'celebrities', 'personality', 'scripted shows', 'private investments', 'influence of ads']"
94,"('Cluster', 94)","['tibet', 'tibetan governance', 'elephant populations']"
95,"('Cluster', 95)","['greenhouse gases', 'emissions/global warming', 'odor', 'reducing emissions', 'waste', 'sulfur dioxide', 'emissions', 'tobacco ads', 'atmospheric c02']"
96,"('Cluster', 96)","['parental authority', 'parental exploitation', 'abuse', 'war on christmas', 'parental responsibility', 'child abuse', 'family violence']"
97,"('Cluster', 97)","['production', 'administrative costs', 'industry', 'producer states', 'modern media', 'npov']"
98,"('Cluster', 98)","['national title', 'generations', 'tang dynasty (618-907)', 'incumbent', 'emperor', 'dynasty']"
99,"('Cluster', 99)","['discovery', 'researching it', 'reanalyzing evidence', 'rediscovery']"
